"","society_id","Gathering","Hunting","Fishing","Husbandry","Agriculture","Agriculture_intensity"
"48","Ac23",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"49","Ac24",2.34741784037559,9.85915492957746,19.2488262910798,2.34741784037559,66.1971830985916,"Extensive/shifting"
"50","Ac25",10.2439024390244,20,10.2439024390244,10.2439024390244,49.2682926829268,"Extensive/shifting"
"51","Ac26",2.39234449760766,19.6172248803828,19.6172248803828,10.0478468899522,48.3253588516746,"Extensive/shifting"
"52","Ac27",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"53","Ac28",2.39234449760766,19.6172248803828,38.755980861244,10.0478468899522,29.1866028708134,"Extensive/shifting"
"54","Ac29",2.34741784037559,9.85915492957746,9.85915492957746,2.34741784037559,75.5868544600939,NA
"55","Ac3",10.0478468899522,10.0478468899522,10.0478468899522,2.39234449760766,67.4641148325359,"Extensive/shifting"
"56","Ac30",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"57","Ac31",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"58","Ac32",2.34741784037559,28.6384976525822,19.2488262910798,2.34741784037559,47.4178403755869,"Extensive/shifting"
"59","Ac33",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"60","Ac34",2.39234449760766,10.0478468899522,29.1866028708134,10.0478468899522,48.3253588516746,"Extensive/shifting"
"61","Ac35",2.39234449760766,10.0478468899522,29.1866028708134,10.0478468899522,48.3253588516746,NA
"62","Ac36",2.34741784037559,19.2488262910798,2.34741784037559,9.85915492957746,66.1971830985916,"Extensive/shifting"
"63","Ac37",11.1111111111111,11.1111111111111,11.1111111111111,2.64550264550265,64.021164021164,"Extensive/shifting"
"64","Ac38",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"65","Ac39",2.34741784037559,2.34741784037559,38.0281690140845,9.85915492957746,47.4178403755869,NA
"66","Ac4",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"67","Ac40",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"68","Ac41",2.34741784037559,9.85915492957746,2.34741784037559,9.85915492957746,75.5868544600939,"Extensive/shifting"
"69","Ac42",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,NA
"70","Ac43",2.34741784037559,9.85915492957746,2.34741784037559,19.2488262910798,66.1971830985916,"Extensive/shifting"
"71","Ac5",2.34741784037559,19.2488262910798,19.2488262910798,2.34741784037559,56.8075117370892,"Extensive/shifting"
"72","Ac6",2.39234449760766,19.6172248803828,10.0478468899522,10.0478468899522,57.8947368421053,"Extensive/shifting"
"73","Ac7",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"74","Ac8",2.39234449760766,19.6172248803828,19.6172248803828,10.0478468899522,48.3253588516746,"Extensive/shifting"
"75","Ac9",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"76","Ad1",2.39234449760766,10.0478468899522,38.755980861244,10.0478468899522,38.755980861244,"Extensive/shifting"
"77","Ad10",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive"
"78","Ad11",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive irrigated"
"79","Ad12",2.30414746543779,2.30414746543779,2.30414746543779,28.110599078341,64.9769585253456,"Extensive/shifting"
"80","Ad13",2.34741784037559,19.2488262910798,2.34741784037559,19.2488262910798,56.8075117370892,"Extensive/shifting"
"81","Ad14",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"82","Ad15",2.34741784037559,9.85915492957746,2.34741784037559,9.85915492957746,75.5868544600939,"Extensive/shifting"
"83","Ad16",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Intensive"
"84","Ad17",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"85","Ad18",2.34741784037559,19.2488262910798,19.2488262910798,2.34741784037559,56.8075117370892,"Extensive/shifting"
"86","Ad19",2.34741784037559,2.34741784037559,28.6384976525822,9.85915492957746,56.8075117370892,"Extensive/shifting"
"87","Ad2",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Intensive"
"88","Ad20",10.0478468899522,10.0478468899522,2.39234449760766,10.0478468899522,67.4641148325359,"Extensive/shifting"
"89","Ad21",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"90","Ad22",2.30414746543779,2.30414746543779,2.30414746543779,28.110599078341,64.9769585253456,"Intensive"
"91","Ad23",2.34741784037559,9.85915492957746,2.34741784037559,47.4178403755869,38.0281690140845,"Intensive irrigated"
"92","Ad24",2.34741784037559,9.85915492957746,2.34741784037559,38.0281690140845,47.4178403755869,"Extensive/shifting"
"93","Ad25",2.34741784037559,19.2488262910798,2.34741784037559,28.6384976525822,47.4178403755869,"Extensive/shifting"
"94","Ad26",2.30414746543779,2.30414746543779,2.30414746543779,46.5437788018433,46.5437788018433,"Intensive"
"95","Ad27",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"96","Ad28",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"97","Ad29",2.34741784037559,2.34741784037559,19.2488262910798,19.2488262910798,56.8075117370892,"Extensive/shifting"
"98","Ad3",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive irrigated"
"99","Ad30",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,"Extensive/shifting"
"100","Ad31",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,NA
"101","Ad32",2.34741784037559,9.85915492957746,2.34741784037559,19.2488262910798,66.1971830985916,"Extensive/shifting"
