@relation R_data_frame

@attribute Agriculture_intensity numeric
@attribute Major_crop_type numeric
@attribute Settlement_pattern numeric
@attribute Political_complexity numeric
@attribute Plow_cultivation numeric
@attribute Animal_type {'Absence or near absence',Bovine,Camelids,Deer,Equine,Pigs,Sheep/goats}
@attribute Milking {'Absence or near absence','More than sporadically'}
@attribute Population_size numeric
@attribute Amphibian_richness numeric
@attribute Bird_richness numeric
@attribute Mammal_richness numeric
@attribute Plants_richness numeric
@attribute Annual_NPP_Var numeric
@attribute Monthly_mean_NPP numeric
@attribute NPP_Constancy numeric
@attribute NPP_Contingency numeric
@attribute NPP_Predictability numeric
@attribute Biome {'Boreal Forests/Taiga','Deserts & Xeric Shrublands','Flooded Grasslands & Savannas',Ice,'Inland Water',Mangroves,'Mediterranean Forests, Woodlands & Scrub','Montane Grasslands & Shrublands','Temperate Broadleaf & Mixed Forests','Temperate Conifer Forests','Temperate Grasslands, Savannas & Shrublands','Tropical & Subtropical Coniferous Forests','Tropical & Subtropical Dry Broadleaf Forests','Tropical & Subtropical Grasslands, Savannas & Shrublands','Tropical & Subtropical Moist Broadleaf Forests',Tundra}
@attribute Annual_Mean_Temp numeric
@attribute Annual_Precip_Var numeric
@attribute Annual_Temp_Var numeric
@attribute Monthly_Mean_Precip numeric
@attribute Precip_Constancy numeric
@attribute Precip_Contingency numeric
@attribute Precip_Predictability numeric
@attribute Temp_Constancy numeric
@attribute Temp_Contingency numeric
@attribute Temp_Predictability numeric
@attribute cluster {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
3,6,7,3,1,Bovine,'More than sporadically',250000,29,349.257464,96.627271,2347.68,0.331226,1.369541,0.311623,0.175727,0.48735,'Tropical & Subtropical Grasslands, Savannas & Shrublands',20.197683,10551815964,9.697884,102638.1489,0.41921,0.176931,0.596141,0.503619,0.204816,0.708435,6
3,6,7,3,1,Bovine,'Absence or near absence',1200000,37.992824,327.283722,97.239466,1707.14,0.91818,2.363365,0.211524,0.249553,0.461077,'Tropical & Subtropical Grasslands, Savannas & Shrublands',17.789179,13467979126,2.699581,122622.7043,0.285961,0.282338,0.568299,0.613429,0.130988,0.744416,5
5,6,7,3,1,Bovine,'More than sporadically',150000,28.360379,379.929245,128.105169,1992.98,0.474574,1.870992,0.276761,0.165474,0.442235,'Montane Grasslands & Shrublands',19.087992,7342754886,11.362556,78645.35105,0.382294,0.199605,0.581899,0.492846,0.192858,0.685704,5
3,6,6,3,1,Bovine,'More than sporadically',40000,20,308.30335,81.612077,1511.4,1.158181,1.5865,0.192974,0.301398,0.494372,'Tropical & Subtropical Grasslands, Savannas & Shrublands',23.236389,15269346637,1.737648,101434.1036,0.191671,0.306516,0.498187,0.636542,0.093424,0.729966,6
5,6,6,4,2,Bovine,'More than sporadically',900000,12,210.694281,52.119937,2154.63,0.899287,1.495776,0.282552,0.352909,0.635461,'Montane Grasslands & Shrublands',10.677855,7069531633,17.606034,124839.5988,0.499808,0.181774,0.681581,0.450781,0.258433,0.709214,6
3,6,8,4,1,Bovine,'More than sporadically',300000,28.070272,324.669373,113.140305,1421.47,0.782046,1.46368,0.236231,0.269943,0.506174,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.919982,10979414178,13.816751,81720.68357,0.28865,0.246479,0.535129,0.479782,0.202523,0.682304,6
3,6,3,2,1,Bovine,'More than sporadically',22000,39,366.0662,126.390208,1383.25,1.213801,1.559387,0.174385,0.289476,0.463861,'Flooded Grasslands & Savannas',20.830011,15750401614,12.753788,95912.51318,0.259628,0.310608,0.570235,0.473885,0.220911,0.694796,5
3,6,7,3,1,Bovine,'More than sporadically',750000,44,356.977272,132.15898,1621.45,1.190872,2.135221,0.174153,0.298083,0.472236,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.137775,15053921231,11.422937,106646.6804,0.387631,0.284826,0.672457,0.498038,0.232612,0.73065,8
3,6,7,2,1,Sheep/goats,'Absence or near absence',90000,42,277.958032,100.427558,1694.72,0.425984,0.849804,0.278023,0.181168,0.45919,'Tropical & Subtropical Grasslands, Savannas & Shrublands',20.228044,19771051651,5.384483,140786.9519,0.272678,0.331883,0.604562,0.556068,0.171312,0.727379,9
3,5,7,3,1,Sheep/goats,'Absence or near absence',600000,38,254.66296,98.524566,1760.75,1.374007,1.792208,0.101041,0.268791,0.369831,'Tropical & Subtropical Grasslands, Savannas & Shrublands',20.499558,13961412818,2.801225,130821.0527,0.293028,0.313512,0.60654,0.602888,0.152537,0.755425,8
3,5,6,1,1,Sheep/goats,'Absence or near absence',50000,38.954116,396.528236,125.99213,1705.97,0.501953,2.19417,0.382916,0.237208,0.543023,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.171426,15423010273,8.900911,108738.2752,0.411482,0.297257,0.708738,0.534049,0.226054,0.760104,9
3,5,7,2,1,Sheep/goats,'Absence or near absence',200000,16,229.173344,80.680413,2005.8,0.662471,2.567904,0.241019,0.229306,0.470325,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.151574,7683087818,0.972318,104336.349,0.462431,0.219032,0.681462,0.682153,0.097616,0.779769,8
3,5,7,3,1,Sheep/goats,'Absence or near absence',200000,17,222.886869,103.601225,2072.81,1.20231,1.662311,0.12992,0.224637,0.354557,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.342507,9502551210,0.569159,151544.1363,0.49883,0.222353,0.721182,0.737184,0.067522,0.804705,7
3,4,7,1,1,Sheep/goats,'Absence or near absence',6000,60.90079,319.828736,111.439986,3247.4,0.851062,3.526915,0.234783,0.18824,0.423023,'Tropical & Subtropical Moist Broadleaf Forests',22.863755,8753106453,0.298138,211498.7061,0.621112,0.153599,0.774711,0.770191,0.050136,0.820327,8
3,5,7,4,1,Sheep/goats,'Absence or near absence',80000,16.984895,221.652834,94.023943,2090.27,1.008197,1.632713,0.148544,0.227762,0.376306,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.475063,9110469846,0.742435,138862.8088,0.448798,0.228697,0.677495,0.717401,0.077385,0.794786,8
3,4,7,2,1,Sheep/goats,'Absence or near absence',65000,29.564522,312.667502,92.130387,2295.46,0.751789,1.996622,0.242179,0.212573,0.454753,'Tropical & Subtropical Grasslands, Savannas & Shrublands',23.370682,8573238351,0.718967,134133.8354,0.517054,0.226799,0.743853,0.713379,0.09502,0.808399,8
3,5,7,1,1,Sheep/goats,'Absence or near absence',125000,31,278.447083,94.836787,2412.87,0.217726,1.853767,0.35892,0.135558,0.494478,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.953992,8596792667,0.415682,167835.2813,0.567139,0.197443,0.764582,0.749363,0.066635,0.815998,8
3,5,7,2,1,Sheep/goats,'Absence or near absence',27000,15.096169,264.710695,98.14754,1938.55,1.117685,1.280849,0.164917,0.246197,0.411115,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.381809,12977726606,0.717903,158401.2746,0.399973,0.27292,0.672893,0.706861,0.071935,0.778796,5
3,5,5,2,1,Sheep/goats,'Absence or near absence',10000,17.265712,230.558297,92.714371,2047.51,1.103707,1.849284,0.155784,0.206956,0.36274,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.533677,7184397498,0.937901,111926.8943,0.414643,0.225936,0.640579,0.694034,0.082665,0.7767,8
3,6,5,3,1,Sheep/goats,'Absence or near absence',600000,17,228.458617,100.885614,2015.61,0.940554,1.304204,0.175937,0.20619,0.382127,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.740035,10819803484,0.560967,158147.7933,0.475119,0.237919,0.713039,0.732146,0.064084,0.79623,8
